file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,radius
random_geometric_0.98_10,0.9052546881000001,1.74995,966.18,1941.7196,0.0,0.0,0.91504433257137,0.9713372515765816,0.98
random_geometric_0.66_2,0.90531596114,1.75484,687.084,23145.230944,0.0,0.0,0.6059341602422943,0.8006383798264324,0.66
random_geometric_0.73_2,0.9047448298799999,1.75689,773.77,20210.9351,0.0,0.0,0.6796633446947026,0.846992668909848,0.73
random_geometric_0.31_7,0.9052643251999999,1.75383,225.22,3377.8756,0.0,0.0,0.1439094855199408,0.6486750934132868,0.31
random_geometric_0.24_7,0.90350896906,1.76029,146.836,1450.711104,0.0,0.0,0.089412138510692,0.6293967037203135,0.24
random_geometric_0.22_6,0.9041447646399999,1.75334,124.378,982.419116,0.0,0.0,0.0589691768923853,0.6266826997277303,0.22
random_geometric_0.37_6,0.90369290502,1.76107,300.208,7174.866736,0.0,0.0,0.2007624024703882,0.6681082548238237,0.37
random_geometric_0.79_8,0.90457779868,1.75535,844.308,14725.631136,0.0,0.0,0.7577574697074656,0.8880133859424932,0.79
random_geometric_0.75_3,0.9035963554,1.75808,779.02,19348.7476,0.0,0.0,0.6996478333728908,0.8491212568097134,0.75
random_geometric_0.66_5,0.90373632106,1.7591,696.966,23633.968844,0.0,0.0,0.6114323909966071,0.8062372563048177,0.66
random_geometric_0.73_5,0.90381417658,1.75732,772.784,20275.489344,0.0,0.0,0.6910079322656184,0.8461713216120746,0.73
random_geometric_0.11_4,0.90116283814,1.77168,34.604,77.12918400000001,0.0,0.0,0.0136336689953799,0.611326798724477,0.11
random_geometric_0.46_1,0.9049953340200002,1.75952,425.794,14815.545564,0.0,0.0,0.3153427154669987,0.7022628543199708,0.46
random_geometric_0.53_1,0.90458435926,1.7598,518.996,19699.849983999997,0.0,0.0,0.4220485248695891,0.7298368793413348,0.53
random_geometric_0.79_10,0.9050136704599998,1.75265,831.112,15017.919456,0.0,0.0,0.7453490445312336,0.8785965943329126,0.79
random_geometric_0.17_2,0.9037389896999998,1.7577,78.652,295.87289599999997,0.0,0.0,0.0356023831703106,0.616097054076939,0.17
random_geometric_0.55_7,0.90396297886,1.76333,564.494,23351.081964,0.0,0.0,0.4798332621200676,0.7474843198248697,0.55
random_geometric_0.86_8,0.9053712524599999,1.74663,903.578,8157.093915999999,0.0,0.0,0.8249467076210341,0.9252908849044984,0.86
random_geometric_0.93_8,0.90510293956,1.74752,942.404,4158.072784,0.0,0.0,0.8838294352596144,0.9529112253258396,0.93
random_geometric_0.44_10,0.9046200715,1.75935,407.364,13566.803504,0.0,0.0,0.3178531668877969,0.6929851510233658,0.44
random_geometric_0.46_6,0.9048889079599999,1.75916,420.458,13460.972236,0.0,0.0,0.3206400576074205,0.6987659989353165,0.46
random_geometric_0.53_6,0.9044229732599999,1.76328,532.552,21782.017296,0.0,0.0,0.4475962309471112,0.7352453345818495,0.53
random_geometric_0.08_8,0.89942278424,1.78702,18.792,25.236736000000004,0.0,0.0,0.0074809372274581,0.5871117736050547,0.08
random_geometric_0.11_3,0.9025539605000001,1.76823,34.706,75.953564,0.0,0.0,0.0140779446933467,0.6047614537059484,0.11
