file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,radius
random_geometric_0.22_3,0.37767741804000005,8.53627,121.68,712.3756,0.0,0.0,0.0614477017250464,0.6317511303382968,0.22
random_geometric_0.37_3,0.37860644610000005,8.54462,300.96,8168.694399999999,0.0,0.0,0.2231289139982498,0.6632379110553244,0.37
random_geometric_0.31_5,0.37803803694000004,8.54027,228.528,4084.409216,0.0,0.0,0.144262620689361,0.6482505425017218,0.31
random_geometric_0.24_5,0.37793810952000007,8.54314,149.728,1340.452016,0.0,0.0,0.0806542584535459,0.6338718494376641,0.24
random_geometric_0.57_10,0.37886583519999995,8.59618,590.282,24546.422476,0.0,0.0,0.5014423330623,0.758976976171529,0.57
random_geometric_0.5_10,0.3794296884400001,8.57375,473.916,16594.672944,0.0,0.0,0.3571376672409672,0.7168707044914443,0.5
random_geometric_0.46_4,0.37916436950000004,8.5772,432.384,14784.770544,0.0,0.0,0.3417375721039998,0.7006753968576857,0.46
random_geometric_0.53_4,0.37997631002000004,8.58063,521.32,20781.6016,0.0,0.0,0.4092087025888096,0.7318613686975907,0.53
random_geometric_0.11_1,0.37223879518,8.63161,34.532,72.604976,0.0,0.0,0.0150380232990939,0.6068789759226091,0.11
random_geometric_0.55_2,0.3800503765199999,8.58995,543.05,21419.8435,0.0,0.0,0.4515529799116541,0.7395847267080443,0.55
random_geometric_0.59_9,0.37897760525999996,8.58762,597.128,22816.103616,0.0,0.0,0.5033446767559483,0.7599943866218528,0.59
random_geometric_0.17_7,0.3769349977,8.55241,77.73,338.7391,0.0,0.0,0.0361280835166116,0.6228690574368051,0.17
random_geometric_0.99_7,0.37957099010000006,8.47576,968.016,1761.525744,0.0,0.0,0.9169490899496896,0.9727654643780062,0.99
random_geometric_0.11_6,0.37274331886000006,8.62063,34.466,67.24884399999999,0.0,0.0,0.0142870396485842,0.6018638669340569,0.11
random_geometric_0.46_3,0.3794242408,8.56077,416.404,12308.086784,0.0,0.0,0.3120379048977212,0.6986416213201472,0.46
random_geometric_0.53_3,0.37928637104,8.57874,518.084,19140.044943999997,0.0,0.0,0.4186337200463462,0.729589614562496,0.53
random_geometric_0.55_5,0.37962909062,8.5761,546.598,20976.094395999997,0.0,0.0,0.4399873907957521,0.741208187861066,0.55
random_geometric_0.58_10,0.3781492625999999,8.58946,591.726,22221.118924,0.0,0.0,0.4977332227437757,0.7577536604633782,0.58
random_geometric_0.49_4,0.37842095655999997,8.58191,458.438,16027.898156,0.0,0.0,0.351060693164051,0.710504580462229,0.49
random_geometric_0.43_9,0.37989989626000004,8.55485,387.944,12228.768864,0.0,0.0,0.2936695220999885,0.6887707466215082,0.43
random_geometric_0.56_9,0.37917211476000007,8.5977,553.884,21783.316544,0.0,0.0,0.4538114086609506,0.7434848528148174,0.56
random_geometric_0.18_7,0.37607486088,8.56522,85.006,363.4439640000001,0.0,0.0,0.0441272614297233,0.6153782191865156,0.18
random_geometric_0.65_10,0.37955453259999994,8.56752,682.302,23525.958796,0.0,0.0,0.5924670530386087,0.798713937473516,0.65
random_geometric_0.85_6,0.37936089739999995,8.50226,880.692,10561.455136,0.0,0.0,0.799540723830593,0.909891871245878,0.85
random_geometric_0.49_3,0.37867647082000006,8.55795,463.41,16028.6039,0.0,0.0,0.3605233217607048,0.7109838062747217,0.49
random_geometric_0.45_8,0.37806506022,8.56787,412.05,14144.9635,0.0,0.0,0.3097458983332148,0.6951553927242802,0.45
random_geometric_0.83_7,0.37936164966,8.50878,878.14,10918.3704,0.0,0.0,0.8019695025481816,0.9085275269563892,0.83
random_geometric_0.96_7,0.3792857917,8.49435,956.206,2821.443564,0.0,0.0,0.8952057112289523,0.9634355563584122,0.96
random_geometric_0.85_1,0.3789442733199999,8.49929,894.308,9127.055136,0.0,0.0,0.8160901649352618,0.9189552501246052,0.85
random_geometric_0.84_10,0.37913249032000007,8.51152,871.96,11492.014399999998,0.0,0.0,0.7937574476549315,0.9043596602426932,0.84
random_geometric_0.4_4,0.3794209725,8.54576,343.444,9263.062864,0.0,0.0,0.2293649126949725,0.6784502504070987,0.4
random_geometric_0.38_4,0.37886470554,8.56869,314.922,8134.605916,0.0,0.0,0.2194601458241686,0.6688268437332207,0.38
random_geometric_0.2_2,0.37655368444,8.55631,105.77,557.1971000000001,0.0,0.0,0.0525438452193784,0.6239691306260482,0.2
random_geometric_0.22_10,0.37769559616000004,8.55531,126.586,964.266604,0.0,0.0,0.0633550687353896,0.6297366528254335,0.22
random_geometric_0.27_9,0.37838124634,8.55078,184.798,2537.025196,0.0,0.0,0.1072535360031619,0.6376831763542514,0.27
random_geometric_0.32_9,0.37914996444,8.54685,232.334,3308.452444,0.0,0.0,0.1404382100546627,0.6555660144317067,0.32
random_geometric_0.69_7,0.37926917433999996,8.55882,716.04,22997.070399999997,0.0,0.0,0.6199806199481075,0.8162091226121297,0.69
random_geometric_0.8_8,0.37937940459999997,8.51095,845.774,13775.886924,0.0,0.0,0.7537214994678288,0.887755396955267,0.8
random_geometric_0.4_3,0.37886807075999995,8.56894,342.56,9072.7724,0.0,0.0,0.2246033937979605,0.6802478087180077,0.4
random_geometric_0.38_3,0.37880429192,8.55052,319.244,8127.754464000001,0.0,0.0,0.2139725818315805,0.6725424401433537,0.38
random_geometric_0.34_8,0.3788995800800001,8.56286,264.974,5003.661324000001,0.0,0.0,0.1758922095347651,0.6568556695226364,0.34
random_geometric_0.21_8,0.37700521033999995,8.54345,115.56,766.0224000000001,0.0,0.0,0.0620923624172888,0.625010282353425,0.21
