file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,connections
line_5,0.17684483893999997,40.00561,2.008,0.0119359999999999,0,0.0,5.047916444386811e-06,0,5
line_174,0.18986876964,35.27722,2.346,0.230284,0,0.0,1.1653718039516014e-05,0,174
line_121,0.18571309268,37.30787,2.24,0.1863999999999999,0,0.0,8.617570915317155e-06,0,121
line_2,0.17656714326,40.0017,2.002,0.0059959999999999,0,0.0,4.987191501167292e-06,0,2
line_249,0.19683619120000004,31.88409,2.496,0.253984,0,0.0,1.63317895893445e-05,0,249
line_59,0.18037464039999998,39.19145,2.116,0.1065439999999999,0,0.0,6.36182451398502e-06,0,59
line_394,0.22334984600000005,23.00622,2.786,0.1722039999999999,0,0.0,1.5092898492334552e-05,0,394
line_393,0.22271911553999998,23.07236,2.784,0.173344,0,0.0,1.5109534015201503e-05,0,393
line_339,0.21068963754,26.81861,2.676,0.223024,0,0.0,1.5866895534022528e-05,0,339
line_448,0.24560019116000004,18.13607,2.894,0.098764,0,0.0,1.4125291635117929e-05,0,448
line_8,0.17677301299999998,40.01828,2.014,0.017804,0,0.0,5.109743946832692e-06,0,8
line_181,0.19090828966,34.96667,2.36,0.2344,0,0.0,1.2171817761949036e-05,0,181
line_179,0.19012236606,35.07499,2.356,0.233264,0,0.0,1.2020318553953634e-05,0,179
line_186,0.19091145796000003,34.77414,2.37,0.2371,0,0.0,1.256333746422574e-05,0,186
line_417,0.23068756899999995,21.12687,2.832,0.1437759999999999,0,0.0,1.4693649577214334e-05,0,417
line_442,0.24223750801999994,18.77571,2.882,0.108076,0,0.0,1.4236531625081868e-05,0,442
line_333,0.20938215171999996,27.20902,2.664,0.227104,0,0.0,1.59298404003413e-05,0,333
line_366,0.21573255462000002,25.03709,2.73,0.2010999999999999,0,0.0,1.5527075476211675e-05,0,366
line_399,0.22466776448,22.611,2.796,0.166384,0,0.0,1.500869283457595e-05,0,399
line_54,0.18012623649999998,39.3128,2.106,0.098764,0,0.0,6.219781647157063e-06,0,54
line_211,0.19335931330000003,33.67534,2.42,0.2476,0,0.0,1.4836125384454806e-05,0,211
line_244,0.19637873054,32.12971,2.486,0.2538039999999999,0,0.0,1.6334558470086057e-05,0,244
line_410,0.22869166455999998,21.69718,2.818,0.1528759999999999,0,0.0,1.481809965694732e-05,0,410
line_445,0.24310109118,18.45573,2.888,0.103456,0,0.0,1.418093892884872e-05,0,445
line_334,0.20934442513999998,27.14404,2.666,0.226444,0,0.0,1.5919685449942216e-05,0,334
line_361,0.21482123399999997,25.37867,2.72,0.2056,0,0.0,1.559654492688966e-05,0,361
line_53,0.18049072408,39.34486,2.104,0.097184,0,0.0,6.191944366945783e-06,0,53
line_216,0.19394396819999998,33.44793,2.43,0.2491,0,0.0,1.5364310743806436e-05,0,216
line_243,0.19647868703999996,32.1647,2.484,0.2537439999999999,0,0.0,1.6334975329594726e-05,0,243
line_139,0.18632264501999998,36.6422,2.276,0.203824,0,0.0,9.499951494321658e-06,0,139
line_193,0.19161948520000002,34.45658,2.384,0.240544,0,0.0,1.3144001407026764e-05,0,193
line_194,0.19175766556,34.41114,2.386,0.241004,0,0.0,1.3230229033911855e-05,0,194
line_13,0.17798183898,39.99265,2.024,0.0274239999999999,0,0.0,5.2153435179229145e-06,0,13
line_46,0.17975033846,39.48715,2.09,0.0858999999999999,0,0.0,6.002212667339954e-06,0,46
line_203,0.1920501007,34.04017,2.404,0.244784,0,0.0,1.4045975421560657e-05,0,203
line_256,0.19880676146,31.51053,2.51,0.2538999999999998,0,0.0,1.6325628271842195e-05,0,256
line_321,0.20709019910000004,27.93658,2.64,0.2344,0,0.0,1.6041053890386166e-05,0,321
line_374,0.21820416944,24.47337,2.746,0.193484,0,0.0,1.5410398757316554e-05,0,374
line_405,0.2267227741,22.1268,2.808,0.159136,0,0.0,1.490556748451941e-05,0,405
line_450,0.24629099916000002,17.93485,2.898,0.095596,0,0.0,1.4088176855104266e-05,0,450
line_14,0.17735711986,39.96613,2.026,0.0293239999999999,0,0.0,5.236855989952985e-06,0,14
line_41,0.17887758125999997,39.6027,2.08,0.0776,0,0.0,5.871978979603422e-06,0,41
line_204,0.19256738916,33.98216,2.406,0.245164,0,0.0,1.4141245141150196e-05,0,204
line_251,0.19746696328000002,31.77267,2.5,0.254,0,0.0,1.6330324567071452e-05,0,251
line_326,0.20760919225999994,27.62984,2.65,0.2314999999999999,0,0.0,1.5997115091487772e-05,0,326
line_373,0.21792027305999997,24.54047,2.744,0.194464,0,0.0,1.5425338096652816e-05,0,373
line_402,0.22639130400000002,22.34188,2.802,0.162796,0,0.0,1.4957396995448924e-05,0,402
line_457,0.25122356806,17.14298,2.912,0.0842559999999999,0,0.0,1.39582956159732e-05,0,457
line_108,0.18491712706,37.73385,2.214,0.172204,0,0.0,8.054580555598446e-06,0,108
line_232,0.19539010431999998,32.71171,2.462,0.2525559999999999,0,0.0,1.633732455785001e-05,0,232
line_267,0.19980449684000004,30.94335,2.532,0.252976,0,0.0,1.630908196148333e-05,0,267
line_298,0.20369188122000004,29.29196,2.594,0.245164,0,0.0,1.6199258151462546e-05,0,298
line_22,0.17842351046000005,39.89489,2.042,0.044236,0,0.0,5.413851659730954e-06,0,22
line_77,0.18258259101999996,38.6895,2.152,0.1328959999999999,0,0.0,6.915622874448233e-06,0,77
line_88,0.18323286496000005,38.39614,2.174,0.147724,0,0.0,7.290417290927679e-06,0,88
