file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity
d18_6,0.36717642852,8.70112,18.0,0.0,0.0,0.0,0.5494431134371526,0.016235294117647
d56_8,0.3753605247599999,8.53927,56.0,0.0,0.0,0.0,0.7439199022549356,0.0540974025974025
d43_8,0.37422028424000003,8.57962,43.0,0.0,0.0,0.0,0.7097116104084229,0.0411561461794019
d96_1,0.3768781217799999,8.52558,96.0,0.0,0.0,0.0,0.8108150017314231,0.0940842105263157
d83_1,0.37764774742,8.5111,83.0,0.0,0.0,0.0,0.7923004241292491,0.0812195121951219
d49_5,0.37546867616,8.57066,49.0,0.0,0.0,0.0,0.7262113539681262,0.0467066326530612
d16_0,0.36472316434,8.72837,16.0,0.0,0.0,0.0,0.5249058159704475,0.013525
d41_5,0.37468944340000004,8.5706,41.0,0.0,0.0,0.0,0.69886146221965,0.038440243902439
d54_5,0.3759606317999999,8.54831,54.0,0.0,0.0,0.0,0.7407639907310196,0.0514213836477987
d10_6,0.35672705907999996,8.89565,10.0,0.0,0.0,0.0,0.4046071748556441,0.0081333333333333
d52_3,0.37514797835999997,8.55018,52.0,0.0,0.0,0.0,0.7348370092679756,0.0501809954751131
d47_3,0.3748667862399999,8.55732,47.0,0.0,0.0,0.0,0.7206576078517866,0.0449972247918593
d41_2,0.37407586277999993,8.56835,41.0,0.0,0.0,0.0,0.6975614741726507,0.0394390243902439
d54_2,0.37556202824,8.54135,54.0,0.0,0.0,0.0,0.7399166649148711,0.0521299790356394
d16_7,0.36554305846,8.72396,16.0,0.0,0.0,0.0,0.5246762318415339,0.014375
d58_9,0.37622543718,8.53658,58.0,0.0,0.0,0.0,0.7499598593300492,0.0560181488203266
d98_0,0.37796901138,8.51606,98.0,0.0,0.0,0.0,0.81235603044721,0.0963395750052598
d52_4,0.37559360785999996,8.56277,52.0,0.0,0.0,0.0,0.7364212617458591,0.0504660633484162
d47_4,0.37495442492,8.54818,47.0,0.0,0.0,0.0,0.7192511298712886,0.0450027752081406
d10_1,0.35625756454,8.88206,10.0,0.0,0.0,0.0,0.4045575101733222,0.0072666666666666
d72_0,0.37722988716,8.52042,72.0,0.0,0.0,0.0,0.7760621411108838,0.0707582159624413
d67_0,0.3763830885999999,8.53553,67.0,0.0,0.0,0.0,0.7658143753129749,0.0648561736770692
d25_5,0.36958011096000004,8.64559,25.0,0.0,0.0,0.0,0.6130921117464032,0.0232
d30_5,0.37204519754,8.6131,30.0,0.0,0.0,0.0,0.6470140013407711,0.0283793103448275
d2_9,0.24163386397999997,11.74572,2.0,0.0,0.0,0.0,0.0,0.0
d61_6,0.37608069790000004,8.53769,61.0,0.0,0.0,0.0,0.7587251053266177,0.0592590163934426
d74_6,0.37677828196,8.51703,74.0,0.0,0.0,0.0,0.778665573276045,0.0722510181414291
d36_3,0.3742377835599999,8.58278,36.0,0.0,0.0,0.0,0.6782988792361074,0.0341428571428571
d23_3,0.3696604927199999,8.65575,23.0,0.0,0.0,0.0,0.5963057389890042,0.0210237154150197
d8_4,0.35086274749999996,9.0,8.0,0.0,0.0,0.0,0.3492791202240368,0.0058928571428571
d25_2,0.370678478,8.62935,25.0,0.0,0.0,0.0,0.6163637443824062,0.02274
d30_2,0.37303921098,8.60477,30.0,0.0,0.0,0.0,0.6510714445019913,0.0279931034482758
d72_7,0.37674099458,8.53084,72.0,0.0,0.0,0.0,0.7777248779199708,0.0702230046948356
d67_7,0.37642784358,8.52936,67.0,0.0,0.0,0.0,0.7690387831547317,0.0653161465400271
d29_9,0.37217293770000004,8.60803,29.0,0.0,0.0,0.0,0.645294615073494,0.026667487684729
d36_4,0.37292251146000005,8.59583,36.0,0.0,0.0,0.0,0.6809717348618534,0.0344714285714285
d23_4,0.36943518816000004,8.63998,23.0,0.0,0.0,0.0,0.6004865227986712,0.0211897233201581
d61_1,0.37606291652,8.54282,61.0,0.0,0.0,0.0,0.7588254245192798,0.0599704918032786
d74_1,0.37656808497999994,8.528,74.0,0.0,0.0,0.0,0.7779323301939908,0.0721310625694187
d4_8,0.31786042714,9.66688,4.0,0.0,0.0,0.0,0.1373050942199856,0.0015
d8_3,0.3507990485400001,8.99502,8.0,0.0,0.0,0.0,0.3493811391629833,0.006
